ENST	Transcript.Biotype
407	ENST00000555458	protein_coding
408	ENST00000555528	protein_coding
409	ENST00000555926	protein_coding
410	ENST00000556131	protein_coding
411	ENST00000557334	protein_coding
412	ENST00000559482	protein_coding
413	ENST00000575243	protein_coding
414	ENST00000576024	protein_coding
415	ENST00000576532	protein_coding
416	ENST00000578199	protein_coding
417	ENST00000578502	protein_coding
418	ENST00000578709	protein_coding
419	ENST00000578845	protein_coding
420	ENST00000579122	protein_coding
421	ENST00000579755	protein_coding
422	ENST00000580074	protein_coding
423	ENST00000582818	protein_coding
424	ENST00000583836	protein_coding
425	ENST00000584099	protein_coding
426	ENST00000584450	protein_coding
427	ENST00000584601	protein_coding
428	ENST00000585851	protein_coding
429	ENST00000586131	protein_coding
430	ENST00000586243	protein_coding
431	ENST00000586385	protein_coding
432	ENST00000586760	protein_coding
433	ENST00000586856	protein_coding
434	ENST00000586985	protein_coding
435	ENST00000588454	protein_coding
436	ENST00000588745	protein_coding
437	ENST00000588860	protein_coding
438	ENST00000589076	protein_coding
439	ENST00000589677	protein_coding
440	ENST00000589941	protein_coding
441	ENST00000590061	protein_coding
442	ENST00000590574	protein_coding
443	ENST00000591534	protein_coding
444	ENST00000591849	protein_coding
445	ENST00000591914	protein_coding
446	ENST00000592158	protein_coding
447	ENST00000593223	protein_coding
448	ENST00000594107	protein_coding
449	ENST00000598165	protein_coding
450	ENST00000599693	protein_coding
451	ENST00000601453	protein_coding
452	ENST00000603546	protein_coding
453	ENST00000604005	protein_coding
454	ENST00000604348	protein_coding
